"","Q1.Eco.Info.Important","Q2.Belief.In.Eco.Label","Q3.Understand.Eco.Certificate","Q4.Individuals.Can.Improve.Environment","Q5.Corporation.Can.Improve.Environment","Q6.Need.Eco.Certificate.Fashion","Q7.Eco.Cert.Help.Buyers","Q8.Seek.For.Eco.Cert.Clothes","Q9.Buy.Eco.Product","Q10.Pay.More.For.Eco.Products","Q11.Pay.Premium.For.Eco.Clothing","Q12.Ready.To.Pay.More.For.Certified.Eco.Products","Q13.Reduce.Consumption","Q14.Protect.Environment","Q15.Purchase.Less.Harmful.Clothing","Q16.Avoid.Buying.Harmful.Products","Q17.Support.Environmental.Protection","Q18.Rather.Buy.Eco.Clothes","Q19.Price.Of.Eco.Products.More.On.Average","Q20.Prefer.Purchase.More.Expensive.Clothing","Q21.Eco.Label.Brand.Socially.Acceptable","Q22.Rather.Stick.With.Conventional.Brand.Than.Eco.Brand","Q23.Rarely.Swith.Brand.To.Try.Something.New","Q24.No.Different.To.Me.Eco.Clothing.Is.Not.Branded","Q25.Eco.Clothing.More.Fashionable","Q26.Eco.Clothing.Quality.Higher","Q27.Country.Can.Positively.Influence.Environment","Q28.Support.Eco.Protection.Socially.Responsible","Q29.Satisfied.Purchasing.Eco.Clothing","Q30a.Fair.Trade","Q30b.Fair.And.Care","Q30c.Global.Organic.Textile.Standard","Q30d.Fair.Wear.Foundation","Q30e.Clean.Clothes.Campaign","Q30f.Oeko.Tex","Q30g.I.Know.None.Of.Them","Q31a.Fit","Q31b.Comfort","Q31c.Fibre.Material","Q31d.Quality.Workmanship","Q31e.Garment.Life","Q31f.Colour","Q31g.Style","Q31h.Brand","Q31i.Price","Q31j.COO","Q31k.Durability","Q31l.Certified.Eco.Label","Q31m.Certified.Ethical.Label","Q38a.Less.Water.Use","Q38b.Air.Quality","Q38c.Less.Energy.Use","Q38d.Worker.Safety","Q38e.Fair.Wages","Q38f.No.Child.Labour","Q38g.No.Animal.Skin.Use","Q32.Last.Of.My.Circle.Knowing.Latest.Designers.And.Trends","Q33.Little.Shopping.New.Fashion.Than.My.Friends","Q34.Last.Of.My.Circle.Purchase.New.Fashion","Q35.Faster.Knowing.More.About.New.Fashion.Than.Others","Q36.Interest.Buying.Locally.Available.New.Style","Q37.Consider.Buying.New.Styles.Without.Heard.About.It","Q39.Annual.Spending.On.Clothes","Q40.Employment.Status","Q41.Sex","Q42.Income","Q43.Age","Q44.Highest.Level.Of.Education","total_score","product_cues_1_10","product_cues_11_13","product_cues_1_13","production_cues_a_g","product_cues_8_10","product_cues_1_7_11_13","aesthetic_aspect","functional_aspect","sustainable_commitment","fashion_innovativeness"
"1","high","high","high","high","high","high","high","high","high","high","low","high","high","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,1,NA,NA,NA,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Female",1,1,2,18,"high","high","high","high","high","high","high","high","high","low"
"2","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","low","high","high","high",1,1,1,NA,1,1,NA,"high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low",1,"Male",1,1,2,24,"high","high","high","high","high","high","high","high","high","high"
"3","high","low","high","low","low","high","high","high","high","low","low","low","low","high","low","low","high","low","low","low","low","low","low","low","low","low","high","low","low",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","high","low","high","low","low","high","high","low","high","high","high","high","low","low","low","low","low","low","low",1,"Male",3,1,3,15,"low","low","low","high","low","low","high","high","low","low"
"4","low","low","high","high","high","low","low","high","low","low","low","low","low","low","low","low","low","low","low","low","high","low","high","low","low","low","high","low","low",NA,NA,1,NA,NA,NA,NA,"high","high","low","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","low","low","low","low","low","low","low","low","low",1,"Male",1,1,2,15,"high","high","high","high","high","high","high","high","low","low"
"5","high","low","low","high","high","high","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",NA,NA,1,NA,NA,NA,NA,"high","high","low","high","high","high","high","high","high","high","high","high","high","low","low","low","low","high","high","high","low","low","low","high","low","low","low",1,"Female",1,1,2,14,"high","high","high","high","high","high","high","high","low","low"
"6","high","low","high","high","high","high","low","high","high","low","high","low","low","low","low","high","high","low","low","low","low","low","low","low","low","low","low","low","low",NA,NA,1,NA,NA,NA,NA,"high","low","low","high","low","low","low","low","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",1,"Male",11,1,2,8,"low","low","low","low","low","low","low","low","low","low"
"7","high","low","low","low","low","high","high","high","low","low","low","low","high","low","low","high","low","low","low","low","high","low","low","low","low","low","low","low","low",1,NA,1,NA,1,NA,NA,"high","high","high","high","high","high","high","low","high","low","low","low","high","low","low","low","high","high","high","high","low","low","low","low","low","low","low",1,"Female",1,1,2,15,"high","low","low","low","low","high","high","high","low","low"
"8","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","low","high","high","high","high","low","high","low","high","high","high","low","low","low","high","low","low","low","low","low","low","low","low",1,"Female",1,1,2,18,"low","high","low","low","low","low","high","high","high","low"
"9","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low",NA,NA,NA,NA,NA,1,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","high","high","high","high",1,"Female",5,1,2,16,"high","high","high","low","high","high","high","high","high","low"
"10","high","low","high","high","high","high","high","high","low","low","low","low","high","high","high","high","high","low","high","low","high","low","high","low","low","low","high","high","low",1,NA,1,NA,NA,NA,NA,"high","high","high","high","high","high","high","low","high","low","high","low","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Male",1,1,2,12,"high","high","high","high","high","high","high","high","high","low"
"11","high","high","high","high","high","low","high","low","high","low","low","low","high","high","low","low","high","low","high","low","low","low","high","low","low","low","high","low","low",NA,NA,NA,NA,NA,NA,1,"high","high","low","high","low","low","low","low","high","low","high","low","high","low","high","low","high","high","high","high","low","low","low","low","low","high","low",1,"Female",1,1,2,15,"low","high","low","low","low","low","low","high","low","low"
"12","high","high","high","high","high","high","high","low","high","low","low","low","low","high","high","low","low","low","high","low","high","low","low","low","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"low","high","high","high","high","low","low","low","low","low","low","high","high","low","high","high","high","high","low","high","low","low","low","low","low","low","low",1,"Male",5,1,2,17,"low","low","low","low","high","low","low","low","low","low"
"13","high","high","high","low","high","high","high","high","high","low","low","low","low","high","high","high","high","high","high","low","high","low","low","low","low","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","high","low","high","low","low","low","low","low","low","high","low","low","high","high","high","low","high","high","low",1,"Male",1,1,2,22,"low","low","low","low","low","low","high","high","high","high"
"14","high","high","high","high","high","high","high","low","low","low","low","low","low","low","high","high","high","low","low","low","high","low","high","low","low","low","low","low","low",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","low","high","high","low","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Male",1,1,1,16,"high","high","high","high","high","high","low","high","low","low"
"15","high","low","high","high","high","high","high","high","high","low","low","low","high","high","high","high","high","high","low","low","high","low","low","low","low","low","high","high","high",NA,NA,NA,NA,NA,NA,1,"low","high","high","high","high","low","low","low","high","low","high","high","high","low","high","high","high","high","high","low","low","low","low","low","low","low","low",1,"Male",11,1,2,14,"high","high","low","high","high","low","low","high","high","low"
"16","high","high","low","low","high","low","high","high","high","high","low","low","high","high","high","high","high","high","high","high","high","low","low","high","low","low","high","low","high",1,NA,NA,NA,NA,NA,NA,"low","low","low","low","low","low","low","low","low","high","high","high","high","high","high","high","low","low","low","high","low","low","low","low","low","low","low",2,"Male",1,1,3,18,"low","low","low","high","low","low","low","low","high","low"
"17","high","low","high","high","high","high","high","high","high","low","low","low","high","high","high","high","high","high","high","low","high","low","low","low","low","low","high","high","low",1,NA,1,NA,NA,NA,1,"high","high","high","high","high","low","high","low","high","low","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Male",1,1,2,16,"high","high","high","high","high","high","high","high","high","low"
"18","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","high","low","high","high","high","low","high","high","high","high","low","high","low","low","low","low","high","high","high",1,"Female",1,1,2,21,"high","low","high","high","high","high","high","high","high","high"
"19","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","high","high","high","high","high","high","low","low","low","high","low","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Male",6,1,2,15,"high","high","high","high","high","high","high","high","high","low"
"20","high","high","low","high","high","high","high","high","high","low","low","low","high","high","high","high","high","high","low","low","high","low","low","low","high","low","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","low","high","low","low","high","low","high","low","low","low","high","low","low","low","low","low","high","high","low","low","high","low","low","low","low",1,"Male",6,1,1,17,"low","low","low","low","low","low","low","low","high","low"
"21","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","high","low","high","low","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,3,18,"low","low","low","high","low","low","high","high","high","low"
"22","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","high","high","high","high","low","low","low","high","low","low","high","high","high","high",NA,NA,1,NA,NA,NA,NA,"high","high","high","high","high","low","high","low","high","high","high","high","high","low","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Male",1,1,2,18,"high","high","high","high","high","high","high","high","high","low"
"23","high","high","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high","high","low","low","high","low","low","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","low","high","high","high","high","low","high","low","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","high",3,"Male",9,1,2,16,"low","high","low","high","high","low","high","high","high","low"
"24","high","low","high","high","low","high","high","high","low","low","low","low","high","high","high","high","high","high","low","high","high","low","low","low","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","low","low","high","low","low","low","low","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low",3,"Male",1,1,2,18,"low","low","low","high","low","low","low","high","high","low"
"25","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Female",1,1,2,18,"high","high","high","high","high","low","high","high","high","low"
"26","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",1,1,1,1,1,1,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","high",1,"Male",11,1,2,23,"low","high","low","high","high","high","high","high","high","high"
"27","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","high","low","low","high","high","high","high","high","high","high","high","low","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","low","high","high","high","high","high","high","high","high","low","low","high","high","high","high","high","low","low","low","low","low","low","low",1,"Male",1,1,1,8,"high","high","high","high","high","high","high","high","high","low"
"28","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low","high","high","high",1,NA,1,NA,NA,NA,NA,"high","high","high","high","high","high","high","low","low","high","high","high","high","low","high","low","high","high","high","low","high","high","high","low","low","low","low",1,"Male",5,1,2,22,"high","low","low","low","high","high","high","high","high","high"
"29","high","low","high","low","high","high","high","high","high","low","low","low","low","high","high","high","high","high","low","low","high","low","high","low","low","low","high","high","high",NA,NA,NA,1,NA,1,NA,"low","high","low","high","high","low","high","low","low","low","high","high","low","low","low","high","high","high","high","low","low","low","low","low","low","low","low",1,"Male",1,1,2,16,"low","low","low","low","high","low","low","high","high","low"
"30","high","low","high","high","low","high","high","high","low","low","low","low","low","high","high","low","low","low","low","low","high","low","low","low","high","low","high","high","low",NA,NA,1,NA,NA,NA,NA,"high","high","low","high","high","low","low","low","high","low","high","low","high","high","high","high","high","high","high","high","high","low","low","low","low","high","low",1,"Male",2,1,1,20,"low","low","low","high","low","low","low","high","low","low"
"31","high","low","high","high","high","high","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",NA,NA,NA,NA,NA,NA,1,"high","high","low","high","high","high","high","high","high","low","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",1,"Male",4,1,2,18,"low","high","low","low","low","low","high","high","low","low"
"32","high","high","high","high","high","high","high","low","high","low","high","high","high","high","high","high","high","high","high","low","high","low","low","low","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","low","high","high","low","high","low","high","low","high","low","low","high","high","high","high","high","low","low","high","low","low","low","low",1,"Female",8,1,2,17,"low","low","low","high","low","low","high","high","high","low"
"33","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","high","high","low","low","high","high","low","high","high","high",NA,NA,1,NA,NA,NA,NA,"high","high","high","high","low","high","high","low","high","low","high","high","high","low","high","high","high","high","high","low","low","low","low","low","low","low","low",1,"Female",3,1,2,13,"low","high","low","high","low","high","high","high","high","low"
"34","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,2,18,"high","high","high","high","high","high","high","high","high","low"
"35","high","low","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","high","low","low","low","high",1,"Female",1,1,4,15,"high","high","high","high","high","high","high","high","high","low"
"36","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",NA,NA,NA,NA,NA,NA,1,"low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",1,"Male",1,1,2,18,"low","low","low","low","low","low","low","low","low","low"
"37","high","low","high","high","high","high","high","high","high","high","low","high","low","high","low","high","high","high","low","low","high","low","high","low","low","low","high","high","low",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","low","low","high","low","high","low","low","low","low","low","low","low","low","high","high","low","low","low","low",1,"Female",2,1,2,20,"high","low","high","low","high","high","high","high","low","low"
"38","high","high","high","high","high","low","low","high","high","low","low","low","high","high","high","high","high","low","high","high","high","low","high","low","low","low","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","low","low","high","high","high","low","high","low","high","low","high","low","high","high","high","high","high","high","low","low","low","low","high","low","low",1,"Male",2,1,2,14,"low","high","low","high","high","low","high","high","low","low"
"39","high","high","low","low","high","high","high","low","high","low","low","low","high","high","low","high","low","low","high","low","low","low","low","low","low","low","high","high","low",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","high","low","high","low","high","low","low","low","high","high","high","low","low","low","low","low","low","low","low",1,"Male",1,1,2,14,"low","low","low","low","low","low","high","high","low","low"
"40","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",1,NA,NA,NA,NA,NA,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Female",1,1,1,18,"high","high","high","high","high","high","high","high","high","low"
"41","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","low","high","high","high","high","low","low","low","high","high","high","high","high","low","low","low","low","low","low",1,"Female",2,1,2,19,"low","low","low","high","high","low","high","high","high","low"
"42","high","low","low","high","high","high","low","high","low","low","low","low","high","high","low","high","low","low","low","low","high","low","low","low","low","low","low","low","low",NA,NA,NA,NA,NA,NA,1,"low","high","high","high","low","low","low","low","low","high","low","low","high","low","low","low","high","high","high","high","low","low","low","low","low","low","low",1,"Female",4,1,2,18,"low","low","low","low","low","low","low","low","low","low"
"43","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,2,18,"high","high","high","high","high","high","high","high","high","low"
"44","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","high","high","high","high","high","high","high","high","high","low","high","high","high","high",NA,1,NA,NA,NA,NA,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","high","high","high","low","low",1,"Male",1,1,2,21,"high","high","high","high","high","high","high","high","high","high"
"45","high","low","low","low","low","high","low","low","high","low","low","low","low","low","low","low","low","low","low","low","high","low","low","low","low","low","low","low","low",1,NA,1,NA,NA,NA,NA,"high","high","low","high","low","high","high","high","high","low","high","low","low","low","low","high","high","high","high","high","low","low","low","low","low","high","high",1,"Male",7,1,2,19,"high","high","low","high","low","high","high","high","low","low"
"46","high","high","low","high","low","low","high","low","high","low","low","low","low","high","low","high","high","low","low","low","low","low","high","low","low","low","high","high","low",NA,NA,NA,NA,NA,NA,1,"high","high","low","high","low","high","high","low","high","low","low","low","low","high","high","high","high","high","high","high","low","low","low","high","low","low","low",1,"Female",2,1,2,16,"low","high","low","high","low","high","high","high","low","low"
"47","high","high","high","high","low","high","high","low","high","low","low","low","low","high","high","high","high","high","high","high","high","high","high","high","high","low","high","high","high",NA,NA,NA,NA,NA,NA,NA,"high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Female",1,1,2,18,"low","high","low","high","high","low","high","high","low","low"
"48","high","high","high","high","high","high","high","low","high","low","high","low","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","high","high",NA,NA,1,NA,NA,NA,NA,"high","high","high","high","high","high","high","low","high","low","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Female",2,1,2,18,"high","high","high","high","high","high","high","high","high","low"
"49","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","low","low","low","high","high","high","high","low","high","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Male",1,1,2,14,"low","high","low","high","low","high","low","high","low","low"
"50","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","low","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,1,18,"low","high","low","high","low","low","high","high","high","low"
"51","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","high","low","low",NA,NA,1,NA,NA,NA,NA,"low","high","high","high","high","high","high","low","high","high","high","low","low","high","high","high","high","high","low","low","low","low","low","low","low","low","low",1,"Male",1,1,2,18,"high","high","high","high","low","high","high","high","low","low"
"52","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,1,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,2,18,"high","high","high","high","high","high","high","high","high","low"
"53","high","high","high","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","low","high","high","low","low","low","low","high","high","high","high",1,1,1,1,1,1,NA,"high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Male",4,1,2,18,"low","high","low","high","high","low","high","high","low","low"
"54","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","low","high","high",1,NA,NA,NA,NA,NA,NA,"high","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,2,16,"low","high","low","high","high","high","high","high","high","low"
"55","high","high","high","low","low","high","high","low","low","low","low","low","high","low","high","high","low","low","low","low","high","low","low","high","low","low","high","high","low",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","low","high","low","low","high","low","high","low","high","low","high","low","high","high","high","high","low","low","low","high","low","low","low",1,"Male",2,1,2,15,"low","low","low","low","low","low","low","high","low","low"
"56","high","high","high","high","high","high","high","high","high","low","low","low","low","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","high","low","low","low","high","high","high","low",1,"Male",11,1,2,19,"high","high","high","low","high","high","high","high","low","low"
"57","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,1,NA,NA,1,1,NA,"high","high","high","high","high","low","high","low","high","low","high","high","high","high","low","low","high","high","high","high","low","low","low","low","low","low","low",1,"Female",1,1,2,17,"low","low","low","low","high","low","low","high","high","low"
"58","high","low","high","high","high","high","high","high","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",NA,NA,NA,NA,1,NA,NA,"high","high","low","high","low","high","high","low","high","low","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Male",1,1,2,18,"high","low","low","high","high","low","high","high","low","low"
"59","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",1,NA,1,NA,NA,NA,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low","high","low","low","low","low","high","low",1,"Male",1,1,5,22,"high","high","high","low","high","high","high","high","high","high"
"60","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",1,NA,1,1,NA,NA,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",2,1,1,18,"high","high","high","high","high","high","high","high","high","low"
"61","high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","low","high","high","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,2,18,"high","high","high","high","high","high","high","high","high","low"
"62","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","high","high","high","high",1,"Male",6,1,2,22,"high","high","high","high","high","high","high","high","high","high"
"63","high","high","high","low","high","low","high","low","low","low","low","low","low","high","low","low","low","low","low","low","low","low","low","low","low","low","high","low","low",NA,NA,NA,NA,NA,NA,1,"low","high","high","high","low","high","high","high","high","low","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",1,"Male",1,1,2,18,"low","high","low","low","low","low","high","high","low","low"
"64","high","low","high","high","high","low","high","low","high","low","low","low","high","high","high","high","high","low","high","low","high","low","low","low","low","low","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","low","low","high","low","high","low","low","low","low","low","low","low","high","high","low","low","low","low","low",1,"Female",1,1,2,16,"high","low","low","low","high","low","high","high","low","low"
"65","high","high","high","high","low","high","high","high","high","low","high","low","low","low","low","low","low","low","low","low","low","low","low","low","high","low","high","low","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","high","high","high",1,"Female",1,1,2,22,"low","high","low","high","high","low","high","high","low","high"
"66","high","high","high","high","high","high","high","low","high","high","low","low","high","high","high","high","low","low","low","high","high","low","high","high","high","high","high","high","low",NA,NA,1,NA,NA,NA,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","low","high","low",1,"Female",3,1,3,18,"high","high","high","high","high","high","high","high","high","low"
"67","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","high","low","low","low","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","low","high","low","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","high","low",1,"Male",1,1,2,19,"high","high","high","high","high","high","low","high","high","low"
"68","high","high","high","high","high","high","low","high","high","low","low","high","high","high","high","high","high","high","high","low","high","low","low","low","high","high","high","high","low",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","low","high","low","high","low","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Female",1,1,2,17,"high","high","high","high","high","high","high","high","high","low"
"69","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",1,NA,1,NA,NA,NA,1,"high","high","high","low","high","high","high","low","low","high","low","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,1,18,"high","low","low","high","high","low","high","high","high","low"
"70","high","high","low","high","high","high","high","high","high","high","low","low","low","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,1,NA,NA,NA,NA,"low","low","low","high","high","high","high","high","high","low","low","low","high","high","high","high","high","high","high","high","high","high","high","low","low","low","low",1,"Female",1,1,2,17,"low","low","low","high","high","low","high","low","high","high"
"71","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low","high","low","high","high","high",NA,NA,NA,NA,1,NA,NA,"high","low","low","low","low","high","high","low","high","low","low","low","high","low","low","low","low","low","low","low","high","low","high","low","low","low","low",1,"Female",1,1,2,18,"low","low","low","low","low","low","high","low","high","low"
"72","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","high","low","high","high","low","low","high","high","high","low","low","low","low","low",NA,NA,1,NA,NA,NA,NA,"high","high","high","high","high","high","high","low","high","low","high","low","low","low","low","low","high","low","high","high","low","low","low","low","low","low","low",1,"Female",2,1,2,12,"low","low","low","low","low","low","high","high","low","low"
"73","high","high","high","high","high","high","low","high","high","low","low","low","high","high","high","high","high","high","high","high","high","low","high","high","high","low","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low",1,"Male",1,1,2,14,"high","high","high","high","high","high","high","high","high","low"
